Frame,Time,LinearDisplacement1,LinearDisplacement2,AngularDisplacement2,AngularVelocity1,AngularVelocity2,AngularVelocity3
210,1.680,2.2604E+02,1.6790E+02,2.9976E-05,-5.5487E+01,-2.4655E+02,-5.9908E+01
211,1.681,2.2605E+02,1.6795E+02,-5.9359E-05,-5.5597E+01,-2.4610E+02,-5.9416E+01
212,1.691,2.2629E+02,1.6862E+02,1.7566E-04,-5.5566E+01,-2.4494E+02,-5.7569E+01
213,1.701,2.2652E+02,1.6928E+02,-1.0534E-04,-5.5577E+01,-2.4443E+02,-5.6382E+01
214,1.711,2.2676E+02,1.6993E+02,4.9792E-05,-5.5568E+01,-2.4298E+02,-5.4282E+01
215,1.720,2.2696E+02,1.7053E+02,8.2291E-05,-5.5880E+01,-2.4225E+02,-5.2963E+01
216,1.721,2.2697E+02,1.7058E+02,4.2534E-05,-5.8210E+01,-2.4242E+02,-5.3082E+01
217,1.731,2.2717E+02,1.7123E+02,-8.5299E-06,-5.4997E+01,-2.4108E+02,-5.1129E+01
218,1.741,2.2737E+02,1.7187E+02,7.5702E-05,-5.5088E+01,-2.3979E+02,-4.9237E+01
219,1.751,2.2757E+02,1.7249E+02,2.4074E-04,-5.5616E+01,-2.3863E+02,-4.7498E+01
220,1.760,2.2774E+02,1.7307E+02,1.3524E-04,-5.5576E+01,-2.3741E+02,-4.5761E+01
221,1.761,2.2776E+02,1.7311E+02,5.2376E-05,-5.5763E+01,-2.3748E+02,-4.5789E+01
222,1.771,2.2793E+02,1.7373E+02,-4.1069E-05,-5.5566E+01,-2.3642E+02,-4.4181E+01
223,1.781,2.2811E+02,1.7434E+02,-1.3752E-04,-5.5590E+01,-2.3494E+02,-4.2173E+01
224,1.791,2.2827E+02,1.7494E+02,-1.9466E-05,-5.5525E+01,-2.3357E+02,-4.0296E+01
225,1.800,2.2841E+02,1.7549E+02,-2.1738E-05,-5.5563E+01,-2.3263E+02,-3.8907E+01
226,1.801,2.2842E+02,1.7553E+02,2.6465E-05,-5.5557E+01,-2.3225E+02,-3.8484E+01
227,1.811,2.2857E+02,1.7612E+02,-6.4544E-05,-5.5541E+01,-2.3081E+02,-3.6577E+01
228,1.821,2.2871E+02,1.7670E+02,8.5602E-05,-5.5534E+01,-2.2947E+02,-3.4780E+01
229,1.831,2.2884E+02,1.7728E+02,5.1627E-05,-5.5542E+01,-2.2795E+02,-3.2829E+01
230,1.840,2.2895E+02,1.7780E+02,-3.5759E-05,-5.5334E+01,-2.2676E+02,-3.1258E+01
231,1.841,2.2896E+02,1.7784E+02,-3.8696E-05,-5.5606E+01,-2.2651E+02,-3.0975E+01
232,1.851,2.2906E+02,1.7840E+02,-4.9140E-05,-5.5576E+01,-2.2509E+02,-2.9162E+01
233,1.861,2.2917E+02,1.7895E+02,-4.1090E-05,-5.5926E+01,-2.2364E+02,-2.7328E+01
234,1.871,2.2928E+02,1.7950E+02,2.9027E-05,-5.5571E+01,-2.2225E+02,-2.5571E+01
235,1.880,2.2937E+02,1.7999E+02,5.1002E-05,-5.5647E+01,-2.2042E+02,-2.3428E+01
236,1.881,2.2937E+02,1.8003E+02,1.4652E-04,-5.5459E+01,-2.2078E+02,-2.3759E+01
237,1.891,2.2946E+02,1.8056E+02,-9.8407E-06,-5.5571E+01,-2.1872E+02,-2.1383E+01
238,1.901,2.2955E+02,1.8108E+02,1.9564E-05,-5.5580E+01,-2.1731E+02,-1.9660E+01
239,1.911,2.2962E+02,1.8159E+02,2.1986E-05,-5.5584E+01,-2.1579E+02,-1.7855E+01
240,1.920,2.2967E+02,1.8206E+02,-1.1928E-04,-5.5554E+01,-2.1385E+02,-1.5669E+01
