time,leftV,rightV
3.217,1.08108108108108,-9
3.218,1.08608608608609,-9
3.219,1.09109109109109,-9
3.22,1.0960960960961,-9
3.221,1.1011011011011,-9
3.222,1.10610610610611,-9
3.223,1.11111111111111,-9
3.224,1.11611611611612,-9
3.225,1.12112112112112,-9
3.226,1.12612612612613,-9
3.227,1.13113113113113,-9
3.228,1.13613613613614,-9
3.229,1.14114114114114,-9
3.23,1.14614614614615,-9
3.231,1.15115115115115,-9
3.232,1.15615615615616,-9
3.233,1.16116116116116,-9
3.234,1.16616616616617,-9
3.235,1.17117117117117,-9
3.236,1.17617617617618,-9
3.237,1.18118118118118,-9
3.238,1.18618618618619,-9
3.239,1.19119119119119,-9
3.24,1.1961961961962,-9
3.241,1.2012012012012,-9
3.242,1.20620620620621,-9
3.243,1.21121121121121,-9
3.244,1.21621621621622,-9
3.245,1.22122122122122,-9
3.246,1.22622622622623,-9
3.247,1.23123123123123,-9
3.248,1.23623623623624,-9
3.249,1.24124124124124,-9
3.25,1.24624624624625,-9
3.251,1.25125125125125,-9
3.252,1.25625625625626,-9
3.253,1.26126126126126,-9
3.254,1.26626626626627,-9
3.255,1.27127127127127,-9
3.256,1.27627627627628,-9
3.257,1.28128128128128,-9
3.258,1.28628628628629,-9
3.259,1.29129129129129,-9
3.26,1.2962962962963,-9
3.261,1.3013013013013,-9
3.262,1.30630630630631,-9
3.263,1.31131131131131,-9
3.264,1.31631631631632,-9
3.265,1.32132132132132,-9
3.266,1.32632632632633,-9
3.267,1.33133133133133,-9
3.268,1.33633633633634,-9
3.269,1.34134134134134,-9
3.27,1.34634634634635,-9
3.271,1.35135135135135,-9
3.272,1.35635635635636,-9
3.273,1.36136136136136,-9
3.274,1.36636636636637,-9
3.275,1.37137137137137,-9
3.276,1.37637637637638,-9
3.277,1.38138138138138,-9
3.278,1.38638638638639,-9
3.279,1.39139139139139,-9
3.28,1.3963963963964,-9
3.281,1.4014014014014,-9
3.282,1.40640640640641,-9
3.283,1.41141141141141,-9
3.284,1.41641641641642,-9
3.285,1.42142142142142,-9
3.286,1.42642642642643,-9
3.287,1.43143143143143,-9
3.288,1.43643643643644,-9
3.289,1.44144144144144,-9
3.29,1.44644644644645,-9
3.291,1.45145145145145,-9
3.292,1.45645645645646,-9
3.293,1.46146146146146,-9
3.294,1.46646646646647,-9
